electoral_district,reported,Harris-Walz_Democratic,Trump-Vance_Republican,Trump-Vance_Conservative,Harris-Walz_Working_Families,write_in,assembly_district
ED 5,99.00%,240,287,26,15,6,AD   82
ED 6,99.00%,220,511,21,13,3,AD   82
ED 7,99.00%,323,261,31,12,7,AD   82
ED 8,99.00%,277,325,24,17,13,AD   82
ED 9,99.00%,390,292,26,19,4,AD   82
ED 10,99.00%,490,301,27,25,3,AD   82
ED 11,99.00%,377,239,21,17,7,AD   82
ED 12,99.00%,282,59,10,12,3,AD   82
ED 13,99.00%,268,68,6,10,2,AD   82
ED 14,99.00%,295,57,10,8,0,AD   82
ED 15,99.00%,374,286,37,33,14,AD   82
ED 16,99.00%,397,288,28,14,13,AD   82
ED 17,99.00%,41,21,2,1,0,AD   82
ED 18,99.00%,303,425,42,20,8,AD   82
ED 19,99.00%,301,480,32,17,7,AD   82
ED 20,99.00%,329,600,48,17,4,AD   82
ED 21,99.00%,217,427,38,8,8,AD   82
ED 22,99.00%,177,325,22,8,4,AD   82
ED 23,99.00%,198,297,27,10,4,AD   82
ED 24,99.00%,182,255,13,16,4,AD   82
ED 25,99.00%,491,259,24,27,10,AD   82
ED 26,99.00%,299,217,24,23,9,AD   82
ED 27,99.00%,273,255,18,23,11,AD   82
ED 28,99.00%,510,325,25,27,9,AD   82
ED 29,99.00%,435,253,34,34,8,AD   82
ED 30,85.71%,361,197,26,22,8,AD   82
ED 31,85.71%,274,239,20,26,14,AD   82
ED 32,85.71%,351,347,24,37,9,AD   82
ED 33,99.00%,326,312,16,22,10,AD   82
ED 34,99.00%,282,169,19,18,6,AD   82
ED 35,99.00%,141,83,7,7,4,AD   82
ED 36,99.00%,351,208,15,15,23,AD   82
ED 37,99.00%,13,2,0,2,0,AD   82
ED 38,99.00%,400,328,28,23,19,AD   82
ED 39,99.00%,309,242,23,25,9,AD   82
ED 40,99.00%,335,166,11,24,20,AD   82
ED 41,99.00%,508,433,33,45,11,AD   82
ED 42,99.00%,484,455,30,47,14,AD   82
ED 43,99.00%,208,236,13,15,4,AD   82
ED 44,85.71%,223,189,18,13,7,AD   82
ED 45,99.00%,4,2,0,0,0,AD   82
ED 46,99.00%,678,92,16,27,4,AD   82
ED 47,99.00%,564,76,7,14,6,AD   82
ED 48,99.00%,801,100,11,29,10,AD   82
ED 49,99.00%,692,92,6,18,2,AD   82
ED 50,99.00%,593,64,5,17,6,AD   82
ED 51,99.00%,607,45,10,18,2,AD   82
ED 52,99.00%,1,2,0,0,0,AD   82
ED 53,99.00%,109,94,7,8,2,AD   82
ED 54,99.00%,842,98,8,34,5,AD   82
ED 55,99.00%,747,135,18,29,6,AD   82
ED 56,99.00%,672,90,10,18,1,AD   82
ED 57,99.00%,798,124,4,28,8,AD   82
ED 58,99.00%,824,79,13,24,3,AD   82
ED 59,99.00%,822,106,12,22,6,AD   82
ED 60,99.00%,740,109,7,21,10,AD   82
ED 61,99.00%,783,89,10,31,4,AD   82
ED 62,99.00%,680,73,16,16,7,AD   82
ED 63,99.00%,804,113,15,20,13,AD   82
ED 64,99.00%,821,122,14,19,3,AD   82
ED 65,99.00%,713,106,7,19,2,AD   82
ED 66,99.00%,514,96,9,18,6,AD   82
ED 67,99.00%,0,0,0,0,0,AD   82
ED 68,99.00%,0,0,0,0,0,AD   82
ED 69,99.00%,0,0,0,0,0,AD   82
ED 70,99.00%,0,0,0,0,0,AD   82
ED 71,99.00%,0,0,0,0,0,AD   82
ED 72,99.00%,0,0,0,0,0,AD   82
ED 73,99.00%,0,0,0,0,0,AD   82
ED 74,99.00%,0,0,0,0,0,AD   82
ED 75,99.00%,0,0,0,0,0,AD   82
ED 76,99.00%,0,0,0,0,0,AD   82
ED 77,99.00%,0,0,0,0,0,AD   82
ED 78,99.00%,0,0,0,0,0,AD   82
ED 79,99.00%,0,0,0,0,0,AD   82
ED 1,88.89%,632,87,9,5,1,AD   83
