electoral_district,reported,Harris-Walz_Democratic,Trump-Vance_Republican,Trump-Vance_Conservative,Harris-Walz_Working_Families,write_in,assembly_district,ed_map_for_viz,trump_votes,harris_votes,votes_value_for_viz
ED 78,99.00%,0,0,0,0,0,AD   82,82078,0,0,0
ED 79,99.00%,0,0,0,0,0,AD   82,82079,0,0,0
ED 1,88.89%,632,87,9,5,1,AD   83,83001,96,637,-541
ED 2,88.89%,620,66,14,20,8,AD   83,83002,80,640,-560
ED 3,88.89%,582,96,17,17,5,AD   83,83003,113,599,-486
ED 4,88.89%,496,52,6,16,2,AD   83,83004,58,512,-454
ED 5,88.89%,527,49,11,9,3,AD   83,83005,60,536,-476
ED 6,99.00%,714,69,11,17,6,AD   83,83006,80,731,-651
ED 7,99.00%,732,73,13,16,2,AD   83,83007,86,748,-662
ED 8,99.00%,458,71,6,7,11,AD   83,83008,77,465,-388
ED 9,99.00%,416,72,3,9,1,AD   83,83009,75,425,-350
ED 10,99.00%,474,79,4,12,3,AD   83,83010,83,486,-403
ED 11,99.00%,653,89,8,16,4,AD   83,83011,97,669,-572
ED 12,99.00%,439,75,4,9,6,AD   83,83012,79,448,-369
ED 13,99.00%,392,71,8,20,11,AD   83,83013,79,412,-333
ED 14,99.00%,397,85,4,16,4,AD   83,83014,89,413,-324
ED 15,99.00%,547,95,7,16,8,AD   83,83015,102,563,-461
ED 16,99.00%,570,61,6,16,4,AD   83,83016,67,586,-519
ED 17,99.00%,545,79,3,14,6,AD   83,83017,82,559,-477
ED 18,99.00%,376,64,5,11,5,AD   83,83018,69,387,-318
ED 19,99.00%,492,85,7,23,1,AD   83,83019,92,515,-423
ED 20,99.00%,623,80,13,16,11,AD   83,83020,93,639,-546
ED 21,99.00%,682,52,3,16,7,AD   83,83021,55,698,-643
ED 22,99.00%,702,79,7,15,3,AD   83,83022,86,717,-631
ED 23,99.00%,801,78,7,17,9,AD   83,83023,85,818,-733
ED 24,99.00%,514,60,5,13,3,AD   83,83024,65,527,-462
ED 25,99.00%,709,57,12,15,7,AD   83,83025,69,724,-655
ED 26,99.00%,578,74,9,17,3,AD   83,83026,83,595,-512
ED 27,99.00%,396,77,14,8,2,AD   83,83027,91,404,-313
ED 28,99.00%,421,54,3,10,1,AD   83,83028,57,431,-374
ED 29,99.00%,356,48,7,7,3,AD   83,83029,55,363,-308
ED 30,99.00%,482,113,4,17,7,AD   83,83030,117,499,-382
ED 31,99.00%,494,96,8,19,3,AD   83,83031,104,513,-409
ED 32,99.00%,628,81,6,16,3,AD   83,83032,87,644,-557
ED 33,99.00%,609,69,3,18,4,AD   83,83033,72,627,-555
ED 34,99.00%,537,81,5,13,6,AD   83,83034,86,550,-464
ED 35,99.00%,588,83,14,13,3,AD   83,83035,97,601,-504
ED 36,99.00%,399,44,2,13,2,AD   83,83036,46,412,-366
ED 37,99.00%,379,28,1,14,5,AD   83,83037,29,393,-364
ED 38,99.00%,381,75,7,12,4,AD   83,83038,82,393,-311
ED 39,99.00%,487,59,5,10,2,AD   83,83039,64,497,-433
ED 40,99.00%,255,42,4,7,2,AD   83,83040,46,262,-216
ED 41,88.89%,740,53,3,18,4,AD   83,83041,56,758,-702
ED 42,99.00%,302,44,7,5,1,AD   83,83042,51,307,-256
ED 43,88.89%,468,54,8,15,5,AD   83,83043,62,483,-421
ED 44,88.89%,802,69,13,19,4,AD   83,83044,82,821,-739
ED 45,99.00%,417,33,5,8,4,AD   83,83045,38,425,-387
ED 46,99.00%,654,114,17,18,7,AD   83,83046,131,672,-541
ED 47,99.00%,602,70,8,10,4,AD   83,83047,78,612,-534
ED 48,99.00%,699,76,8,15,1,AD   83,83048,84,714,-630
ED 49,99.00%,319,51,6,10,2,AD   83,83049,57,329,-272
ED 50,99.00%,345,80,11,12,2,AD   83,83050,91,357,-266
ED 51,99.00%,258,55,9,14,3,AD   83,83051,64,272,-208
ED 52,99.00%,383,67,0,9,1,AD   83,83052,67,392,-325
ED 53,99.00%,395,27,5,13,0,AD   83,83053,32,408,-376
ED 54,99.00%,565,81,4,11,3,AD   83,83054,85,576,-491
ED 55,99.00%,0,0,0,0,0,AD   83,83055,0,0,0
ED 56,99.00%,0,0,0,0,0,AD   83,83056,0,0,0
ED 57,99.00%,0,0,0,0,0,AD   83,83057,0,0,0
ED 58,99.00%,253,43,4,7,4,AD   83,83058,47,260,-213
ED 59,99.00%,71,4,0,1,0,AD   83,83059,4,72,-68
ED 60,99.00%,2,0,0,0,0,AD   83,83060,0,2,-2
ED 61,99.00%,201,30,5,3,0,AD   83,83061,35,204,-169
ED 62,99.00%,207,30,1,3,3,AD   83,83062,31,210,-179
ED 63,88.89%,274,16,2,6,0,AD   83,83063,18,280,-262
ED 64,88.89%,66,12,2,5,0,AD   83,83064,14,71,-57
ED 65,88.89%,59,14,1,3,0,AD   83,83065,15,62,-47
ED 66,99.00%,126,9,2,2,0,AD   83,83066,11,128,-117
ED 67,99.00%,101,8,1,2,0,AD   83,83067,9,103,-94
ED 1,99.00%,478,209,10,7,5,AD   84,84001,219,485,-266
ED 2,99.00%,146,62,4,7,1,AD   84,84002,66,153,-87
ED 3,99.00%,377,213,8,11,2,AD   84,84003,221,388,-167
ED 4,99.00%,432,203,12,15,12,AD   84,84004,215,447,-232
ED 5,99.00%,417,177,9,13,4,AD   84,84005,186,430,-244
ED 6,99.00%,420,215,10,13,7,AD   84,84006,225,433,-208
ED 7,99.00%,307,161,12,20,9,AD   84,84007,173,327,-154
ED 8,99.00%,477,171,9,14,6,AD   84,84008,180,491,-311
ED 9,99.00%,290,76,11,18,7,AD   84,84009,87,308,-221
ED 10,99.00%,400,156,12,20,2,AD   84,84010,168,420,-252
ED 11,99.00%,396,147,9,16,7,AD   84,84011,156,412,-256
ED 12,99.00%,345,132,8,34,14,AD   84,84012,140,379,-239
ED 13,99.00%,293,88,7,20,2,AD   84,84013,95,313,-218
ED 14,99.00%,298,76,3,22,10,AD   84,84014,79,320,-241
ED 15,83.33%,95,43,2,7,1,AD   84,84015,45,102,-57
ED 16,83.33%,149,25,4,12,9,AD   84,84016,29,161,-132
ED 17,99.00%,671,170,17,28,3,AD   84,84017,187,699,-512
ED 18,99.00%,406,150,13,10,5,AD   84,84018,163,416,-253
ED 19,99.00%,312,81,7,10,9,AD   84,84019,88,322,-234
ED 20,99.00%,420,122,7,16,2,AD   84,84020,129,436,-307
ED 21,99.00%,278,80,7,12,4,AD   84,84021,87,290,-203
ED 22,99.00%,401,123,17,14,4,AD   84,84022,140,415,-275
ED 23,99.00%,181,76,6,15,5,AD   84,84023,82,196,-114
ED 24,99.00%,198,89,6,13,6,AD   84,84024,95,211,-116
ED 25,99.00%,446,187,18,14,2,AD   84,84025,205,460,-255
ED 26,99.00%,298,106,5,15,2,AD   84,84026,111,313,-202
ED 27,99.00%,88,31,2,6,3,AD   84,84027,33,94,-61
ED 28,99.00%,470,180,13,13,2,AD   84,84028,193,483,-290
ED 29,99.00%,513,155,14,35,8,AD   84,84029,169,548,-379
ED 30,99.00%,339,112,14,9,6,AD   84,84030,126,348,-222
ED 31,99.00%,407,142,7,14,5,AD   84,84031,149,421,-272
ED 32,99.00%,369,127,4,9,5,AD   84,84032,131,378,-247
ED 33,99.00%,212,58,11,9,1,AD   84,84033,69,221,-152
ED 34,99.00%,409,132,15,22,2,AD   84,84034,147,431,-284
ED 35,99.00%,367,136,6,11,3,AD   84,84035,142,378,-236
ED 36,99.00%,391,98,8,21,3,AD   84,84036,106,412,-306
ED 37,99.00%,364,92,7,20,0,AD   84,84037,99,384,-285
ED 38,99.00%,305,147,16,21,2,AD   84,84038,163,326,-163
ED 39,99.00%,235,101,17,18,2,AD   84,84039,118,253,-135
ED 40,99.00%,220,75,3,10,6,AD   84,84040,78,230,-152
ED 41,99.00%,366,141,8,19,8,AD   84,84041,149,385,-236
ED 42,99.00%,331,83,6,8,6,AD   84,84042,89,339,-250
ED 43,99.00%,387,101,7,18,2,AD   84,84043,108,405,-297
ED 44,99.00%,301,85,5,17,0,AD   84,84044,90,318,-228
ED 45,99.00%,349,107,11,19,4,AD   84,84045,118,368,-250
ED 46,99.00%,351,104,10,12,3,AD   84,84046,114,363,-249
ED 47,99.00%,229,97,8,17,0,AD   84,84047,105,246,-141
ED 48,99.00%,395,94,11,29,8,AD   84,84048,105,424,-319
ED 49,99.00%,205,60,4,6,0,AD   84,84049,64,211,-147
ED 50,99.00%,245,105,4,11,2,AD   84,84050,109,256,-147
ED 51,99.00%,424,82,12,38,18,AD   84,84051,94,462,-368
ED 52,99.00%,62,18,4,4,0,AD   84,84052,22,66,-44
ED 53,99.00%,69,19,1,10,2,AD   84,84053,20,79,-59
ED 54,99.00%,160,51,4,11,2,AD   84,84054,55,171,-116
ED 55,99.00%,452,156,10,26,4,AD   84,84055,166,478,-312
ED 56,99.00%,152,54,4,10,6,AD   84,84056,58,162,-104
ED 57,99.00%,233,66,13,12,1,AD   84,84057,79,245,-166
ED 58,99.00%,345,139,8,11,2,AD   84,84058,147,356,-209
ED 59,99.00%,28,12,0,3,0,AD   84,84059,12,31,-19
ED 60,99.00%,50,28,0,3,0,AD   84,84060,28,53,-25
ED 61,99.00%,165,39,6,8,0,AD   84,84061,45,173,-128
ED 62,99.00%,0,0,0,0,0,AD   84,84062,0,0,0
ED 63,83.33%,0,0,0,0,0,AD   84,84063,0,0,0
ED 64,99.00%,123,46,3,7,1,AD   84,84064,49,130,-81
ED 65,99.00%,158,67,2,5,3,AD   84,84065,69,163,-94
ED 66,99.00%,142,32,5,19,3,AD   84,84066,37,161,-124
ED 67,99.00%,219,23,5,14,2,AD   84,84067,28,233,-205
ED 1,99.00%,747,177,22,47,9,AD   85,85001,199,794,-595
ED 2,83.33%,492,188,15,26,8,AD   85,85002,203,518,-315
ED 3,83.33%,367,179,7,12,7,AD   85,85003,186,379,-193
ED 4,99.00%,409,185,14,21,7,AD   85,85004,199,430,-231
ED 5,99.00%,588,179,8,25,13,AD   85,85005,187,613,-426
ED 6,99.00%,319,115,8,13,1,AD   85,85006,123,332,-209
ED 7,99.00%,288,96,3,3,5,AD   85,85007,99,291,-192
ED 8,83.33%,184,69,4,3,3,AD   85,85008,73,187,-114
ED 9,99.00%,453,193,22,18,13,AD   85,85009,215,471,-256
ED 10,99.00%,294,85,6,16,4,AD   85,85010,91,310,-219
ED 11,85.71%,354,97,8,6,2,AD   85,85011,105,360,-255
ED 12,85.71%,307,92,4,10,1,AD   85,85012,96,317,-221
ED 13,85.71%,379,112,9,14,7,AD   85,85013,121,393,-272
ED 14,99.00%,428,93,3,13,3,AD   85,85014,96,441,-345
ED 15,99.00%,731,105,9,26,4,AD   85,85015,114,757,-643
ED 16,99.00%,437,93,8,15,3,AD   85,85016,101,452,-351
ED 17,99.00%,360,112,12,14,4,AD   85,85017,124,374,-250
ED 18,99.00%,9,8,2,0,0,AD   85,85018,10,9,1
ED 19,99.00%,379,123,6,14,11,AD   85,85019,129,393,-264
ED 20,99.00%,399,103,5,14,0,AD   85,85020,108,413,-305
ED 21,99.00%,485,141,11,19,21,AD   85,85021,152,504,-352
ED 22,99.00%,485,176,12,25,9,AD   85,85022,188,510,-322
ED 23,99.00%,240,91,5,10,2,AD   85,85023,96,250,-154
ED 24,99.00%,171,73,6,8,3,AD   85,85024,79,179,-100
ED 25,99.00%,370,94,7,12,2,AD   85,85025,101,382,-281
ED 26,99.00%,280,90,4,5,0,AD   85,85026,94,285,-191
ED 27,99.00%,216,73,5,9,3,AD   85,85027,78,225,-147
ED 28,99.00%,553,164,13,24,7,AD   85,85028,177,577,-400
ED 29,99.00%,431,165,11,23,2,AD   85,85029,176,454,-278
ED 30,83.33%,265,111,5,10,5,AD   85,85030,116,275,-159
ED 31,83.33%,329,103,5,14,0,AD   85,85031,108,343,-235
ED 32,83.33%,264,92,11,13,5,AD   85,85032,103,277,-174
ED 33,99.00%,221,71,7,15,1,AD   85,85033,78,236,-158
ED 34,99.00%,344,97,10,13,1,AD   85,85034,107,357,-250
ED 35,99.00%,423,162,8,11,4,AD   85,85035,170,434,-264
ED 36,99.00%,438,169,17,29,3,AD   85,85036,186,467,-281
ED 37,99.00%,320,112,7,11,1,AD   85,85037,119,331,-212
ED 38,99.00%,0,1,0,0,0,AD   85,85038,1,0,1
ED 39,99.00%,489,174,12,20,1,AD   85,85039,186,509,-323
ED 40,99.00%,284,105,12,19,1,AD   85,85040,117,303,-186
ED 41,99.00%,455,177,6,13,3,AD   85,85041,183,468,-285
ED 42,99.00%,325,103,10,4,4,AD   85,85042,113,329,-216
ED 43,99.00%,389,123,12,22,14,AD   85,85043,135,411,-276
ED 44,99.00%,329,143,5,9,1,AD   85,85044,148,338,-190
ED 45,99.00%,297,144,12,10,5,AD   85,85045,156,307,-151
ED 46,99.00%,469,116,9,18,6,AD   85,85046,125,487,-362
ED 47,99.00%,181,85,6,7,0,AD   85,85047,91,188,-97
ED 48,99.00%,222,87,8,9,1,AD   85,85048,95,231,-136
ED 49,99.00%,214,113,11,9,2,AD   85,85049,124,223,-99
ED 50,99.00%,343,140,9,11,6,AD   85,85050,149,354,-205
ED 51,99.00%,868,55,11,26,5,AD   85,85051,66,894,-828
ED 52,99.00%,776,137,19,23,5,AD   85,85052,156,799,-643
ED 53,99.00%,513,52,7,11,4,AD   85,85053,59,524,-465
ED 54,99.00%,337,114,9,18,3,AD   85,85054,123,355,-232
ED 55,99.00%,0,0,0,0,0,AD   85,85055,0,0,0
ED 56,99.00%,0,0,0,0,0,AD   85,85056,0,0,0
ED 57,99.00%,0,0,0,0,0,AD   85,85057,0,0,0
ED 58,99.00%,0,0,0,0,0,AD   85,85058,0,0,0
ED 59,99.00%,0,0,0,0,0,AD   85,85059,0,0,0
ED 60,99.00%,0,0,0,0,0,AD   85,85060,0,0,0
ED 61,99.00%,0,0,0,0,0,AD   85,85061,0,0,0
ED 62,99.00%,0,0,0,0,0,AD   85,85062,0,0,0
ED 63,99.00%,0,0,0,0,0,AD   85,85063,0,0,0
ED 64,99.00%,0,0,0,0,0,AD   85,85064,0,0,0
ED 65,99.00%,0,0,0,0,0,AD   85,85065,0,0,0
ED 66,99.00%,0,0,0,0,0,AD   85,85066,0,0,0
ED 67,99.00%,0,0,0,0,0,AD   85,85067,0,0,0
ED 68,99.00%,0,0,0,0,0,AD   85,85068,0,0,0
ED 69,99.00%,0,0,0,0,0,AD   85,85069,0,0,0
ED 70,99.00%,0,0,0,0,0,AD   85,85070,0,0,0
ED 71,99.00%,0,0,0,0,0,AD   85,85071,0,0,0
ED 72,99.00%,0,0,0,0,0,AD   85,85072,0,0,0
ED 73,99.00%,0,0,0,0,0,AD   85,85073,0,0,0
ED 74,99.00%,0,0,0,0,0,AD   85,85074,0,0,0
ED 75,99.00%,0,0,0,0,0,AD   85,85075,0,0,0
ED 76,99.00%,0,0,0,0,0,AD   85,85076,0,0,0
ED 77,99.00%,0,0,0,0,0,AD   85,85077,0,0,0
ED 78,99.00%,0,0,0,0,0,AD   85,85078,0,0,0
ED 79,99.00%,0,0,0,0,0,AD   85,85079,0,0,0
ED 80,99.00%,0,0,0,0,0,AD   85,85080,0,0,0
ED 81,99.00%,0,0,0,0,0,AD   85,85081,0,0,0
ED 82,99.00%,0,0,0,0,0,AD   85,85082,0,0,0
ED 83,99.00%,0,0,0,0,0,AD   85,85083,0,0,0
ED 84,99.00%,43,8,2,0,0,AD   85,85084,10,43,-33
ED 85,83.33%,12,9,0,0,0,AD   85,85085,9,12,-3
ED 86,83.33%,1,5,1,0,0,AD   85,85086,6,1,5
ED 1,99.00%,338,151,7,8,2,AD   86,86001,158,346,-188
ED 2,99.00%,422,168,10,14,5,AD   86,86002,178,436,-258
ED 3,99.00%,46,17,0,3,2,AD   86,86003,17,49,-32
ED 4,99.00%,339,151,7,8,4,AD   86,86004,158,347,-189
ED 5,99.00%,324,184,11,11,2,AD   86,86005,195,335,-140
ED 6,99.00%,305,170,6,10,5,AD   86,86006,176,315,-139
ED 7,99.00%,445,207,10,7,7,AD   86,86007,217,452,-235
ED 8,99.00%,301,172,10,15,5,AD   86,86008,182,316,-134
ED 9,99.00%,486,230,16,15,2,AD   86,86009,246,501,-255
ED 10,85.71%,335,103,12,5,8,AD   86,86010,115,340,-225
ED 11,85.71%,278,131,10,9,3,AD   86,86011,141,287,-146
ED 12,99.00%,388,178,5,11,2,AD   86,86012,183,399,-216
ED 13,99.00%,363,256,13,13,7,AD   86,86013,269,376,-107
ED 14,99.00%,292,155,5,4,4,AD   86,86014,160,296,-136
ED 15,99.00%,266,100,6,3,4,AD   86,86015,106,269,-163
ED 16,99.00%,414,187,13,7,21,AD   86,86016,200,421,-221
ED 17,99.00%,287,105,3,10,1,AD   86,86017,108,297,-189
ED 18,99.00%,362,190,11,3,5,AD   86,86018,201,365,-164
ED 19,99.00%,307,162,9,16,2,AD   86,86019,171,323,-152
ED 20,99.00%,302,132,5,11,6,AD   86,86020,137,313,-176
ED 21,99.00%,323,186,11,3,2,AD   86,86021,197,326,-129
ED 22,99.00%,293,132,9,7,5,AD   86,86022,141,300,-159
ED 23,99.00%,296,127,6,14,8,AD   86,86023,133,310,-177
ED 24,99.00%,256,175,8,7,2,AD   86,86024,183,263,-80
ED 25,99.00%,222,183,8,6,2,AD   86,86025,191,228,-37
ED 26,90.00%,338,193,10,9,2,AD   86,86026,203,347,-144
ED 27,90.00%,261,134,5,11,2,AD   86,86027,139,272,-133
ED 28,90.00%,257,110,11,17,3,AD   86,86028,121,274,-153
ED 29,90.00%,248,123,7,12,4,AD   86,86029,130,260,-130
ED 30,99.00%,350,205,10,16,9,AD   86,86030,215,366,-151
ED 31,99.00%,408,134,11,16,4,AD   86,86031,145,424,-279
ED 32,99.00%,336,105,5,14,4,AD   86,86032,110,350,-240
ED 33,99.00%,426,216,17,4,2,AD   86,86033,233,430,-197
ED 34,99.00%,297,175,9,7,5,AD   86,86034,184,304,-120
ED 35,99.00%,184,54,2,7,0,AD   86,86035,56,191,-135
ED 36,99.00%,279,93,8,5,5,AD   86,86036,101,284,-183
ED 37,99.00%,378,129,7,15,5,AD   86,86037,136,393,-257
ED 38,99.00%,389,136,11,16,3,AD   86,86038,147,405,-258
ED 39,99.00%,209,86,10,9,1,AD   86,86039,96,218,-122
ED 40,99.00%,39,23,0,3,0,AD   86,86040,23,42,-19
ED 41,99.00%,368,147,10,12,5,AD   86,86041,157,380,-223
ED 42,99.00%,39,15,0,1,0,AD   86,86042,15,40,-25
ED 43,99.00%,375,144,7,11,5,AD   86,86043,151,386,-235
ED 44,99.00%,90,37,0,2,2,AD   86,86044,37,92,-55
ED 45,99.00%,62,42,1,3,0,AD   86,86045,43,65,-22
ED 46,99.00%,208,117,5,7,2,AD   86,86046,122,215,-93
ED 47,99.00%,316,137,6,6,1,AD   86,86047,143,322,-179
ED 48,99.00%,258,115,7,11,4,AD   86,86048,122,269,-147
ED 49,99.00%,433,134,11,12,3,AD   86,86049,145,445,-300
ED 50,99.00%,384,189,8,23,5,AD   86,86050,197,407,-210
ED 51,99.00%,336,187,7,6,5,AD   86,86051,194,342,-148
ED 52,99.00%,393,232,9,8,6,AD   86,86052,241,401,-160
ED 53,99.00%,269,122,8,12,3,AD   86,86053,130,281,-151
ED 54,99.00%,0,0,0,0,0,AD   86,86054,0,0,0
ED 55,99.00%,0,0,0,0,0,AD   86,86055,0,0,0
ED 1,99.00%,121,30,2,6,0,AD   87,87001,32,127,-95
ED 2,99.00%,363,152,9,12,3,AD   87,87002,161,375,-214
ED 3,99.00%,407,194,10,15,5,AD   87,87003,204,422,-218
ED 4,99.00%,221,83,8,6,3,AD   87,87004,91,227,-136
ED 5,99.00%,168,57,3,2,0,AD   87,87005,60,170,-110
ED 6,99.00%,487,166,12,23,6,AD   87,87006,178,510,-332
ED 7,99.00%,449,142,6,13,7,AD   87,87007,148,462,-314
ED 8,99.00%,141,50,4,5,2,AD   87,87008,54,146,-92
ED 9,99.00%,468,154,12,18,4,AD   87,87009,166,486,-320
ED 10,99.00%,303,119,12,12,4,AD   87,87010,131,315,-184
ED 11,99.00%,386,171,16,17,11,AD   87,87011,187,403,-216
ED 12,99.00%,359,112,7,33,8,AD   87,87012,119,392,-273
ED 13,99.00%,334,117,10,8,12,AD   87,87013,127,342,-215
ED 14,99.00%,492,144,6,24,29,AD   87,87014,150,516,-366
ED 15,99.00%,559,100,14,18,12,AD   87,87015,114,577,-463
ED 16,99.00%,517,125,9,17,10,AD   87,87016,134,534,-400
ED 17,99.00%,457,85,7,21,16,AD   87,87017,92,478,-386
ED 18,99.00%,610,97,11,25,15,AD   87,87018,108,635,-527
ED 19,99.00%,599,115,15,23,12,AD   87,87019,130,622,-492
ED 20,99.00%,479,93,8,25,14,AD   87,87020,101,504,-403
ED 21,99.00%,471,108,10,45,5,AD   87,87021,118,516,-398
ED 22,99.00%,505,132,15,25,9,AD   87,87022,147,530,-383
ED 23,99.00%,593,138,15,38,17,AD   87,87023,153,631,-478
ED 24,99.00%,560,160,15,24,31,AD   87,87024,175,584,-409
ED 25,85.71%,502,164,13,22,14,AD   87,87025,177,524,-347
ED 26,85.71%,466,156,14,11,20,AD   87,87026,170,477,-307
ED 27,85.71%,405,163,11,25,21,AD   87,87027,174,430,-256
ED 28,99.00%,434,204,14,19,17,AD   87,87028,218,453,-235
ED 29,99.00%,374,136,11,25,26,AD   87,87029,147,399,-252
ED 30,99.00%,413,193,19,15,26,AD   87,87030,212,428,-216
ED 31,99.00%,421,243,18,20,32,AD   87,87031,261,441,-180
ED 32,99.00%,429,227,16,19,21,AD   87,87032,243,448,-205
ED 33,99.00%,1,3,1,0,0,AD   87,87033,4,1,3
ED 34,99.00%,134,72,6,11,10,AD   87,87034,78,145,-67
ED 35,99.00%,314,105,7,21,5,AD   87,87035,112,335,-223
ED 36,99.00%,43,33,1,1,0,AD   87,87036,34,44,-10
ED 37,99.00%,34,8,0,0,0,AD   87,87037,8,34,-26
ED 38,99.00%,363,202,9,13,14,AD   87,87038,211,376,-165
ED 39,99.00%,350,240,5,15,22,AD   87,87039,245,365,-120
ED 40,99.00%,405,152,8,6,18,AD   87,87040,160,411,-251
ED 41,99.00%,283,197,7,14,25,AD   87,87041,204,297,-93
ED 42,99.00%,506,182,19,26,22,AD   87,87042,201,532,-331
ED 43,99.00%,331,152,7,11,19,AD   87,87043,159,342,-183
ED 44,99.00%,349,159,17,14,24,AD   87,87044,176,363,-187
ED 45,99.00%,456,192,19,15,16,AD   87,87045,211,471,-260
ED 46,99.00%,488,102,10,12,1,AD   87,87046,112,500,-388
ED 47,99.00%,457,197,19,21,11,AD   87,87047,216,478,-262
ED 48,99.00%,461,186,12,26,8,AD   87,87048,198,487,-289
ED 49,99.00%,545,116,11,21,3,AD   87,87049,127,566,-439
ED 50,99.00%,337,92,10,5,1,AD   87,87050,102,342,-240
ED 51,99.00%,384,116,7,13,2,AD   87,87051,123,397,-274
ED 52,99.00%,323,60,5,18,1,AD   87,87052,65,341,-276
ED 53,99.00%,480,129,13,9,8,AD   87,87053,142,489,-347
ED 54,99.00%,574,117,5,19,1,AD   87,87054,122,593,-471
ED 55,99.00%,448,166,13,18,8,AD   87,87055,179,466,-287
ED 56,99.00%,4,3,0,1,0,AD   87,87056,3,5,-2
ED 57,99.00%,0,0,0,0,0,AD   87,87057,0,0,0
ED 58,99.00%,0,0,0,0,0,AD   87,87058,0,0,0
ED 59,99.00%,0,0,0,0,0,AD   87,87059,0,0,0
