electoral_district,reported,Harris-Walz_Democratic,Trump-Vance_Republican,Trump-Vance_Conservative,Harris-Walz_Working_Families,write_in,assembly_district,ed_map_for_viz,total_votes,trump_votes,harris_votes,vote_counts,trump_votes_pct,harris_votes_pct,vote_counts_pct
ED 67,99.00%,219,23,5,14,2,AD   84,84067,263,28,233,-205,10.646387832699618,88.59315589353612,-77.9467680608365
ED 1,99.00%,747,177,22,47,9,AD   85,85001,1002,199,794,-595,19.860279441117765,79.24151696606786,-59.381237524950095
ED 2,83.33%,492,188,15,26,8,AD   85,85002,729,203,518,-315,27.846364883401918,71.0562414266118,-43.20987654320989
ED 3,83.33%,367,179,7,12,7,AD   85,85003,572,186,379,-193,32.51748251748251,66.25874125874127,-33.741258741258754
ED 4,99.00%,409,185,14,21,7,AD   85,85004,636,199,430,-231,31.289308176100626,67.61006289308176,-36.320754716981135
ED 5,99.00%,588,179,8,25,13,AD   85,85005,813,187,613,-426,23.001230012300123,75.39975399753997,-52.39852398523985
ED 6,99.00%,319,115,8,13,1,AD   85,85006,456,123,332,-209,26.973684210526315,72.80701754385966,-45.83333333333334
ED 7,99.00%,288,96,3,3,5,AD   85,85007,395,99,291,-192,25.063291139240505,73.67088607594937,-48.607594936708864
ED 8,83.33%,184,69,4,3,3,AD   85,85008,263,73,187,-114,27.756653992395435,71.10266159695817,-43.346007604562736
ED 9,99.00%,453,193,22,18,13,AD   85,85009,699,215,471,-256,30.758226037195996,67.38197424892704,-36.62374821173104
ED 10,99.00%,294,85,6,16,4,AD   85,85010,405,91,310,-219,22.469135802469136,76.5432098765432,-54.07407407407406
ED 11,85.71%,354,97,8,6,2,AD   85,85011,467,105,360,-255,22.483940042826553,77.08779443254818,-54.603854389721626
ED 12,85.71%,307,92,4,10,1,AD   85,85012,414,96,317,-221,23.18840579710145,76.57004830917874,-53.38164251207729
ED 13,85.71%,379,112,9,14,7,AD   85,85013,521,121,393,-272,23.224568138195778,75.43186180422265,-52.20729366602687
ED 14,99.00%,428,93,3,13,3,AD   85,85014,540,96,441,-345,17.77777777777778,81.66666666666667,-63.88888888888889
ED 15,99.00%,731,105,9,26,4,AD   85,85015,875,114,757,-643,13.028571428571428,86.5142857142857,-73.48571428571428
ED 16,99.00%,437,93,8,15,3,AD   85,85016,556,101,452,-351,18.165467625899282,81.29496402877699,-63.129496402877706
ED 17,99.00%,360,112,12,14,4,AD   85,85017,502,124,374,-250,24.701195219123505,74.5019920318725,-49.800796812749
ED 18,99.00%,9,8,2,0,0,AD   85,85018,19,10,9,1,52.63157894736842,47.368421052631575,5.2631578947368425
ED 19,99.00%,379,123,6,14,11,AD   85,85019,533,129,393,-264,24.202626641651033,73.73358348968105,-49.530956848030016
ED 20,99.00%,399,103,5,14,0,AD   85,85020,521,108,413,-305,20.72936660268714,79.27063339731286,-58.54126679462573
ED 21,99.00%,485,141,11,19,21,AD   85,85021,677,152,504,-352,22.451994091580502,74.44608567208272,-51.994091580502214
ED 22,99.00%,485,176,12,25,9,AD   85,85022,707,188,510,-322,26.591230551626595,72.13578500707214,-45.54455445544555
ED 23,99.00%,240,91,5,10,2,AD   85,85023,348,96,250,-154,27.586206896551722,71.83908045977012,-44.252873563218394
ED 24,99.00%,171,73,6,8,3,AD   85,85024,261,79,179,-100,30.268199233716476,68.5823754789272,-38.31417624521073
ED 25,99.00%,370,94,7,12,2,AD   85,85025,485,101,382,-281,20.824742268041238,78.76288659793815,-57.938144329896915
ED 26,99.00%,280,90,4,5,0,AD   85,85026,379,94,285,-191,24.80211081794195,75.19788918205805,-50.3957783641161
ED 27,99.00%,216,73,5,9,3,AD   85,85027,306,78,225,-147,25.49019607843137,73.52941176470588,-48.03921568627452
ED 28,99.00%,553,164,13,24,7,AD   85,85028,761,177,577,-400,23.258869908015768,75.82128777923785,-52.56241787122208
ED 29,99.00%,431,165,11,23,2,AD   85,85029,632,176,454,-278,27.848101265822784,71.83544303797468,-43.9873417721519
ED 30,83.33%,265,111,5,10,5,AD   85,85030,396,116,275,-159,29.292929292929294,69.44444444444444,-40.15151515151515
ED 31,83.33%,329,103,5,14,0,AD   85,85031,451,108,343,-235,23.946784922394677,76.05321507760532,-52.10643015521064
ED 32,83.33%,264,92,11,13,5,AD   85,85032,385,103,277,-174,26.75324675324675,71.94805194805195,-45.194805194805205
ED 33,99.00%,221,71,7,15,1,AD   85,85033,315,78,236,-158,24.761904761904763,74.92063492063492,-50.158730158730165
ED 34,99.00%,344,97,10,13,1,AD   85,85034,465,107,357,-250,23.010752688172044,76.77419354838709,-53.76344086021504
ED 35,99.00%,423,162,8,11,4,AD   85,85035,608,170,434,-264,27.960526315789476,71.38157894736842,-43.421052631578945
ED 36,99.00%,438,169,17,29,3,AD   85,85036,656,186,467,-281,28.353658536585364,71.1890243902439,-42.83536585365854
ED 37,99.00%,320,112,7,11,1,AD   85,85037,451,119,331,-212,26.38580931263858,73.39246119733924,-47.00665188470066
ED 38,99.00%,0,1,0,0,0,AD   85,85038,1,1,0,1,100.0,0.0,100.0
ED 39,99.00%,489,174,12,20,1,AD   85,85039,696,186,509,-323,26.72413793103448,73.13218390804597,-46.4080459770115
ED 40,99.00%,284,105,12,19,1,AD   85,85040,421,117,303,-186,27.790973871733964,71.97149643705463,-44.18052256532066
ED 41,99.00%,455,177,6,13,3,AD   85,85041,654,183,468,-285,27.981651376146786,71.55963302752293,-43.57798165137615
ED 42,99.00%,325,103,10,4,4,AD   85,85042,446,113,329,-216,25.336322869955158,73.76681614349776,-48.43049327354261
ED 43,99.00%,389,123,12,22,14,AD   85,85043,560,135,411,-276,24.107142857142858,73.39285714285714,-49.28571428571428
ED 44,99.00%,329,143,5,9,1,AD   85,85044,487,148,338,-190,30.390143737166326,69.40451745379876,-39.014373716632434
ED 45,99.00%,297,144,12,10,5,AD   85,85045,468,156,307,-151,33.33333333333333,65.5982905982906,-32.264957264957275
ED 46,99.00%,469,116,9,18,6,AD   85,85046,618,125,487,-362,20.22653721682848,78.80258899676376,-58.576051779935284
ED 47,99.00%,181,85,6,7,0,AD   85,85047,279,91,188,-97,32.61648745519714,67.38351254480287,-34.76702508960573
ED 48,99.00%,222,87,8,9,1,AD   85,85048,327,95,231,-136,29.051987767584098,70.64220183486239,-41.590214067278296
ED 49,99.00%,214,113,11,9,2,AD   85,85049,349,124,223,-99,35.53008595988539,63.89684813753582,-28.36676217765043
ED 50,99.00%,343,140,9,11,6,AD   85,85050,509,149,354,-205,29.273084479371313,69.54813359528488,-40.27504911591357
ED 51,99.00%,868,55,11,26,5,AD   85,85051,965,66,894,-828,6.839378238341968,92.64248704663213,-85.80310880829016
ED 52,99.00%,776,137,19,23,5,AD   85,85052,960,156,799,-643,16.25,83.22916666666667,-66.97916666666667
ED 53,99.00%,513,52,7,11,4,AD   85,85053,587,59,524,-465,10.051107325383304,89.26746166950596,-79.21635434412266
ED 54,99.00%,337,114,9,18,3,AD   85,85054,481,123,355,-232,25.571725571725572,73.8045738045738,-48.232848232848234
ED 55,99.00%,0,0,0,0,0,AD   85,85055,0,0,0,0,,,0.0
ED 56,99.00%,0,0,0,0,0,AD   85,85056,0,0,0,0,,,0.0
ED 57,99.00%,0,0,0,0,0,AD   85,85057,0,0,0,0,,,0.0
ED 58,99.00%,0,0,0,0,0,AD   85,85058,0,0,0,0,,,0.0
ED 59,99.00%,0,0,0,0,0,AD   85,85059,0,0,0,0,,,0.0
ED 60,99.00%,0,0,0,0,0,AD   85,85060,0,0,0,0,,,0.0
ED 61,99.00%,0,0,0,0,0,AD   85,85061,0,0,0,0,,,0.0
ED 62,99.00%,0,0,0,0,0,AD   85,85062,0,0,0,0,,,0.0
ED 63,99.00%,0,0,0,0,0,AD   85,85063,0,0,0,0,,,0.0
ED 64,99.00%,0,0,0,0,0,AD   85,85064,0,0,0,0,,,0.0
ED 65,99.00%,0,0,0,0,0,AD   85,85065,0,0,0,0,,,0.0
ED 66,99.00%,0,0,0,0,0,AD   85,85066,0,0,0,0,,,0.0
ED 67,99.00%,0,0,0,0,0,AD   85,85067,0,0,0,0,,,0.0
ED 68,99.00%,0,0,0,0,0,AD   85,85068,0,0,0,0,,,0.0
ED 69,99.00%,0,0,0,0,0,AD   85,85069,0,0,0,0,,,0.0
ED 70,99.00%,0,0,0,0,0,AD   85,85070,0,0,0,0,,,0.0
ED 71,99.00%,0,0,0,0,0,AD   85,85071,0,0,0,0,,,0.0
ED 72,99.00%,0,0,0,0,0,AD   85,85072,0,0,0,0,,,0.0
ED 73,99.00%,0,0,0,0,0,AD   85,85073,0,0,0,0,,,0.0
ED 74,99.00%,0,0,0,0,0,AD   85,85074,0,0,0,0,,,0.0
ED 75,99.00%,0,0,0,0,0,AD   85,85075,0,0,0,0,,,0.0
ED 76,99.00%,0,0,0,0,0,AD   85,85076,0,0,0,0,,,0.0
ED 77,99.00%,0,0,0,0,0,AD   85,85077,0,0,0,0,,,0.0
ED 78,99.00%,0,0,0,0,0,AD   85,85078,0,0,0,0,,,0.0
ED 79,99.00%,0,0,0,0,0,AD   85,85079,0,0,0,0,,,0.0
ED 80,99.00%,0,0,0,0,0,AD   85,85080,0,0,0,0,,,0.0
ED 81,99.00%,0,0,0,0,0,AD   85,85081,0,0,0,0,,,0.0
ED 82,99.00%,0,0,0,0,0,AD   85,85082,0,0,0,0,,,0.0
ED 83,99.00%,0,0,0,0,0,AD   85,85083,0,0,0,0,,,0.0
ED 84,99.00%,43,8,2,0,0,AD   85,85084,53,10,43,-33,18.867924528301888,81.13207547169812,-62.26415094339623
ED 85,83.33%,12,9,0,0,0,AD   85,85085,21,9,12,-3,42.857142857142854,57.14285714285714,-14.285714285714285
ED 86,83.33%,1,5,1,0,0,AD   85,85086,7,6,1,5,85.71428571428571,14.285714285714285,71.42857142857142
ED 1,99.00%,338,151,7,8,2,AD   86,86001,506,158,346,-188,31.225296442687743,68.37944664031622,-37.154150197628475
ED 2,99.00%,422,168,10,14,5,AD   86,86002,619,178,436,-258,28.75605815831987,70.43618739903069,-41.68012924071081
ED 3,99.00%,46,17,0,3,2,AD   86,86003,68,17,49,-32,25.0,72.05882352941177,-47.05882352941177
ED 4,99.00%,339,151,7,8,4,AD   86,86004,509,158,347,-189,31.041257367387033,68.17288801571709,-37.13163064833006
ED 5,99.00%,324,184,11,11,2,AD   86,86005,532,195,335,-140,36.65413533834587,62.96992481203007,-26.315789473684205
ED 6,99.00%,305,170,6,10,5,AD   86,86006,496,176,315,-139,35.483870967741936,63.50806451612904,-28.024193548387103
ED 7,99.00%,445,207,10,7,7,AD   86,86007,676,217,452,-235,32.10059171597633,66.86390532544378,-34.76331360946745
ED 8,99.00%,301,172,10,15,5,AD   86,86008,503,182,316,-134,36.18290258449304,62.82306163021869,-26.640159045725646
ED 9,99.00%,486,230,16,15,2,AD   86,86009,749,246,501,-255,32.843791722296395,66.88918558077437,-34.04539385847797
ED 10,85.71%,335,103,12,5,8,AD   86,86010,463,115,340,-225,24.838012958963283,73.4341252699784,-48.59611231101511
ED 11,85.71%,278,131,10,9,3,AD   86,86011,431,141,287,-146,32.71461716937355,66.5893271461717,-33.87470997679815
ED 12,99.00%,388,178,5,11,2,AD   86,86012,584,183,399,-216,31.335616438356162,68.32191780821918,-36.98630136986302
ED 13,99.00%,363,256,13,13,7,AD   86,86013,652,269,376,-107,41.25766871165644,57.668711656441715,-16.411042944785272
ED 14,99.00%,292,155,5,4,4,AD   86,86014,460,160,296,-136,34.78260869565217,64.34782608695652,-29.565217391304344
ED 15,99.00%,266,100,6,3,4,AD   86,86015,379,106,269,-163,27.96833773087071,70.97625329815304,-43.007915567282325
ED 16,99.00%,414,187,13,7,21,AD   86,86016,642,200,421,-221,31.15264797507788,65.57632398753894,-34.42367601246106
ED 17,99.00%,287,105,3,10,1,AD   86,86017,406,108,297,-189,26.60098522167488,73.15270935960592,-46.551724137931046
ED 18,99.00%,362,190,11,3,5,AD   86,86018,571,201,365,-164,35.20140105078809,63.92294220665499,-28.721541155866895
ED 19,99.00%,307,162,9,16,2,AD   86,86019,496,171,323,-152,34.475806451612904,65.12096774193549,-30.645161290322584
ED 20,99.00%,302,132,5,11,6,AD   86,86020,456,137,313,-176,30.043859649122805,68.64035087719299,-38.59649122807018
ED 21,99.00%,323,186,11,3,2,AD   86,86021,525,197,326,-129,37.523809523809526,62.095238095238095,-24.57142857142857
ED 22,99.00%,293,132,9,7,5,AD   86,86022,446,141,300,-159,31.614349775784756,67.2645739910314,-35.65022421524664
ED 23,99.00%,296,127,6,14,8,AD   86,86023,451,133,310,-177,29.490022172949004,68.73614190687361,-39.24611973392461
ED 24,99.00%,256,175,8,7,2,AD   86,86024,448,183,263,-80,40.848214285714285,58.70535714285714,-17.857142857142854
ED 25,99.00%,222,183,8,6,2,AD   86,86025,421,191,228,-37,45.36817102137768,54.156769596199524,-8.788598574821847
ED 26,90.00%,338,193,10,9,2,AD   86,86026,552,203,347,-144,36.775362318840585,62.86231884057971,-26.086956521739125
ED 27,90.00%,261,134,5,11,2,AD   86,86027,413,139,272,-133,33.65617433414044,65.85956416464892,-32.20338983050848
ED 28,90.00%,257,110,11,17,3,AD   86,86028,398,121,274,-153,30.402010050251256,68.84422110552764,-38.44221105527638
ED 29,90.00%,248,123,7,12,4,AD   86,86029,394,130,260,-130,32.99492385786802,65.98984771573603,-32.99492385786802
ED 30,99.00%,350,205,10,16,9,AD   86,86030,590,215,366,-151,36.440677966101696,62.03389830508475,-25.593220338983052
ED 31,99.00%,408,134,11,16,4,AD   86,86031,573,145,424,-279,25.30541012216405,73.99650959860384,-48.69109947643979
ED 32,99.00%,336,105,5,14,4,AD   86,86032,464,110,350,-240,23.70689655172414,75.43103448275862,-51.72413793103448
ED 33,99.00%,426,216,17,4,2,AD   86,86033,665,233,430,-197,35.037593984962406,64.66165413533834,-29.624060150375932
ED 34,99.00%,297,175,9,7,5,AD   86,86034,493,184,304,-120,37.32251521298174,61.66328600405679,-24.34077079107505
ED 35,99.00%,184,54,2,7,0,AD   86,86035,247,56,191,-135,22.672064777327936,77.32793522267207,-54.655870445344135
ED 36,99.00%,279,93,8,5,5,AD   86,86036,390,101,284,-183,25.8974358974359,72.82051282051282,-46.92307692307692
ED 37,99.00%,378,129,7,15,5,AD   86,86037,534,136,393,-257,25.468164794007492,73.59550561797754,-48.127340823970044
ED 38,99.00%,389,136,11,16,3,AD   86,86038,555,147,405,-258,26.486486486486488,72.97297297297297,-46.486486486486484
ED 39,99.00%,209,86,10,9,1,AD   86,86039,315,96,218,-122,30.476190476190478,69.2063492063492,-38.73015873015872
ED 40,99.00%,39,23,0,3,0,AD   86,86040,65,23,42,-19,35.38461538461539,64.61538461538461,-29.230769230769226
ED 41,99.00%,368,147,10,12,5,AD   86,86041,542,157,380,-223,28.96678966789668,70.11070110701108,-41.143911439114405
ED 42,99.00%,39,15,0,1,0,AD   86,86042,55,15,40,-25,27.27272727272727,72.72727272727273,-45.45454545454547
ED 43,99.00%,375,144,7,11,5,AD   86,86043,542,151,386,-235,27.85977859778598,71.21771217712177,-43.35793357933579
ED 44,99.00%,90,37,0,2,2,AD   86,86044,131,37,92,-55,28.24427480916031,70.22900763358778,-41.984732824427475
ED 45,99.00%,62,42,1,3,0,AD   86,86045,108,43,65,-22,39.81481481481482,60.18518518518518,-20.370370370370367
ED 46,99.00%,208,117,5,7,2,AD   86,86046,339,122,215,-93,35.9882005899705,63.421828908554566,-27.433628318584063
ED 47,99.00%,316,137,6,6,1,AD   86,86047,466,143,322,-179,30.686695278969957,69.09871244635193,-38.41201716738197
ED 48,99.00%,258,115,7,11,4,AD   86,86048,395,122,269,-147,30.886075949367086,68.10126582278481,-37.21518987341773
ED 49,99.00%,433,134,11,12,3,AD   86,86049,593,145,445,-300,24.45193929173693,75.04215851602024,-50.5902192242833
ED 50,99.00%,384,189,8,23,5,AD   86,86050,609,197,407,-210,32.34811165845649,66.83087027914614,-34.48275862068965
ED 51,99.00%,336,187,7,6,5,AD   86,86051,541,194,342,-148,35.85951940850277,63.21626617375231,-27.35674676524954
ED 52,99.00%,393,232,9,8,6,AD   86,86052,648,241,401,-160,37.191358024691354,61.882716049382715,-24.69135802469136
ED 53,99.00%,269,122,8,12,3,AD   86,86053,414,130,281,-151,31.40096618357488,67.8743961352657,-36.47342995169082
ED 54,99.00%,0,0,0,0,0,AD   86,86054,0,0,0,0,,,0.0
ED 55,99.00%,0,0,0,0,0,AD   86,86055,0,0,0,0,,,0.0
ED 1,99.00%,121,30,2,6,0,AD   87,87001,159,32,127,-95,20.125786163522015,79.87421383647799,-59.74842767295598
ED 2,99.00%,363,152,9,12,3,AD   87,87002,539,161,375,-214,29.87012987012987,69.57328385899815,-39.70315398886828
ED 3,99.00%,407,194,10,15,5,AD   87,87003,631,204,422,-218,32.32963549920761,66.87797147385103,-34.54833597464342
ED 4,99.00%,221,83,8,6,3,AD   87,87004,321,91,227,-136,28.34890965732087,70.7165109034268,-42.36760124610592
ED 5,99.00%,168,57,3,2,0,AD   87,87005,230,60,170,-110,26.08695652173913,73.91304347826086,-47.826086956521735
ED 6,99.00%,487,166,12,23,6,AD   87,87006,694,178,510,-332,25.64841498559078,73.48703170028818,-47.83861671469741
ED 7,99.00%,449,142,6,13,7,AD   87,87007,617,148,462,-314,23.9870340356564,74.87844408427877,-50.89141004862237
ED 8,99.00%,141,50,4,5,2,AD   87,87008,202,54,146,-92,26.732673267326735,72.27722772277228,-45.54455445544555
ED 9,99.00%,468,154,12,18,4,AD   87,87009,656,166,486,-320,25.304878048780488,74.08536585365853,-48.78048780487804
ED 10,99.00%,303,119,12,12,4,AD   87,87010,450,131,315,-184,29.11111111111111,70.0,-40.888888888888886
ED 11,99.00%,386,171,16,17,11,AD   87,87011,601,187,403,-216,31.114808652246257,67.0549084858569,-35.940099833610645
ED 12,99.00%,359,112,7,33,8,AD   87,87012,519,119,392,-273,22.928709055876688,75.52986512524085,-52.60115606936416
ED 13,99.00%,334,117,10,8,12,AD   87,87013,481,127,342,-215,26.403326403326403,71.10187110187111,-44.69854469854471
ED 14,99.00%,492,144,6,24,29,AD   87,87014,695,150,516,-366,21.58273381294964,74.24460431654676,-52.661870503597115
ED 15,99.00%,559,100,14,18,12,AD   87,87015,703,114,577,-463,16.216216216216218,82.07681365576103,-65.86059743954482
ED 16,99.00%,517,125,9,17,10,AD   87,87016,678,134,534,-400,19.76401179941003,78.76106194690266,-58.99705014749263
ED 17,99.00%,457,85,7,21,16,AD   87,87017,586,92,478,-386,15.699658703071673,81.56996587030717,-65.8703071672355
ED 18,99.00%,610,97,11,25,15,AD   87,87018,758,108,635,-527,14.24802110817942,83.7730870712401,-69.52506596306068
ED 19,99.00%,599,115,15,23,12,AD   87,87019,764,130,622,-492,17.015706806282722,81.41361256544502,-64.3979057591623
ED 20,99.00%,479,93,8,25,14,AD   87,87020,619,101,504,-403,16.31663974151858,81.421647819063,-65.10500807754443
ED 21,99.00%,471,108,10,45,5,AD   87,87021,639,118,516,-398,18.466353677621285,80.75117370892019,-62.284820031298906
ED 22,99.00%,505,132,15,25,9,AD   87,87022,686,147,530,-383,21.428571428571427,77.25947521865889,-55.83090379008746
ED 23,99.00%,593,138,15,38,17,AD   87,87023,801,153,631,-478,19.101123595505616,78.7765293383271,-59.67540574282148
ED 24,99.00%,560,160,15,24,31,AD   87,87024,790,175,584,-409,22.151898734177212,73.9240506329114,-51.772151898734194
ED 25,85.71%,502,164,13,22,14,AD   87,87025,715,177,524,-347,24.755244755244753,73.2867132867133,-48.53146853146854
ED 26,85.71%,466,156,14,11,20,AD   87,87026,667,170,477,-307,25.487256371814095,71.51424287856072,-46.026986506746624
ED 27,85.71%,405,163,11,25,21,AD   87,87027,625,174,430,-256,27.839999999999996,68.8,-40.96
ED 28,99.00%,434,204,14,19,17,AD   87,87028,688,218,453,-235,31.686046511627907,65.84302325581395,-34.15697674418604
ED 29,99.00%,374,136,11,25,26,AD   87,87029,572,147,399,-252,25.699300699300696,69.75524475524476,-44.05594405594407
ED 30,99.00%,413,193,19,15,26,AD   87,87030,666,212,428,-216,31.83183183183183,64.26426426426426,-32.43243243243242
ED 31,99.00%,421,243,18,20,32,AD   87,87031,734,261,441,-180,35.55858310626703,60.08174386920982,-24.523160762942787
ED 32,99.00%,429,227,16,19,21,AD   87,87032,712,243,448,-205,34.12921348314607,62.92134831460674,-28.79213483146067
ED 33,99.00%,1,3,1,0,0,AD   87,87033,5,4,1,3,80.0,20.0,60.0
ED 34,99.00%,134,72,6,11,10,AD   87,87034,233,78,145,-67,33.47639484978541,62.231759656652365,-28.755364806866957
ED 35,99.00%,314,105,7,21,5,AD   87,87035,452,112,335,-223,24.778761061946902,74.11504424778761,-49.336283185840706
ED 36,99.00%,43,33,1,1,0,AD   87,87036,78,34,44,-10,43.58974358974359,56.41025641025641,-12.820512820512818
ED 37,99.00%,34,8,0,0,0,AD   87,87037,42,8,34,-26,19.047619047619047,80.95238095238095,-61.9047619047619
ED 38,99.00%,363,202,9,13,14,AD   87,87038,601,211,376,-165,35.108153078202996,62.562396006655575,-27.45424292845258
ED 39,99.00%,350,240,5,15,22,AD   87,87039,632,245,365,-120,38.765822784810126,57.75316455696202,-18.987341772151893
ED 40,99.00%,405,152,8,6,18,AD   87,87040,589,160,411,-251,27.164685908319186,69.77928692699491,-42.61460101867573
ED 41,99.00%,283,197,7,14,25,AD   87,87041,526,204,297,-93,38.78326996197718,56.463878326996195,-17.680608365019012
ED 42,99.00%,506,182,19,26,22,AD   87,87042,755,201,532,-331,26.62251655629139,70.4635761589404,-43.84105960264901
ED 43,99.00%,331,152,7,11,19,AD   87,87043,520,159,342,-183,30.57692307692308,65.76923076923077,-35.19230769230769
ED 44,99.00%,349,159,17,14,24,AD   87,87044,563,176,363,-187,31.261101243339258,64.47602131438721,-33.214920071047956
ED 45,99.00%,456,192,19,15,16,AD   87,87045,698,211,471,-260,30.229226361031518,67.47851002865329,-37.24928366762177
ED 46,99.00%,488,102,10,12,1,AD   87,87046,613,112,500,-388,18.270799347471453,81.56606851549756,-63.29526916802611
ED 47,99.00%,457,197,19,21,11,AD   87,87047,705,216,478,-262,30.638297872340424,67.80141843971631,-37.16312056737589
ED 48,99.00%,461,186,12,26,8,AD   87,87048,693,198,487,-289,28.57142857142857,70.27417027417027,-41.702741702741704
ED 49,99.00%,545,116,11,21,3,AD   87,87049,696,127,566,-439,18.24712643678161,81.32183908045977,-63.074712643678154
ED 50,99.00%,337,92,10,5,1,AD   87,87050,445,102,342,-240,22.92134831460674,76.85393258426966,-53.93258426966292
ED 51,99.00%,384,116,7,13,2,AD   87,87051,522,123,397,-274,23.563218390804597,76.0536398467433,-52.4904214559387
ED 52,99.00%,323,60,5,18,1,AD   87,87052,407,65,341,-276,15.970515970515969,83.78378378378379,-67.81326781326783
ED 53,99.00%,480,129,13,9,8,AD   87,87053,639,142,489,-347,22.22222222222222,76.52582159624414,-54.30359937402192
ED 54,99.00%,574,117,5,19,1,AD   87,87054,716,122,593,-471,17.039106145251395,82.82122905027933,-65.78212290502793
ED 55,99.00%,448,166,13,18,8,AD   87,87055,653,179,466,-287,27.411944869831544,71.36294027565084,-43.9509954058193
ED 56,99.00%,4,3,0,1,0,AD   87,87056,8,3,5,-2,37.5,62.5,-25.0
ED 57,99.00%,0,0,0,0,0,AD   87,87057,0,0,0,0,,,0.0
ED 58,99.00%,0,0,0,0,0,AD   87,87058,0,0,0,0,,,0.0
ED 59,99.00%,0,0,0,0,0,AD   87,87059,0,0,0,0,,,0.0
