electoral_district,reported,Harris-Walz_Democratic,Trump-Vance_Republican,Trump-Vance_Conservative,Harris-Walz_Working_Families,write_in,assembly_district,ed_map_for_viz,total_votes,trump_votes,harris_votes,vote_counts,trump_votes_pct,harris_votes_pct,vote_counts_pct
ED 21,99.00%,278,80,7,12,4,AD   84,84021,381,87,290,-203,22.83464566929134,76.11548556430446,-53.28083989501312
ED 22,99.00%,401,123,17,14,4,AD   84,84022,559,140,415,-275,25.044722719141323,74.23971377459749,-49.19499105545617
ED 23,99.00%,181,76,6,15,5,AD   84,84023,283,82,196,-114,28.975265017667844,69.25795053003534,-40.2826855123675
ED 24,99.00%,198,89,6,13,6,AD   84,84024,312,95,211,-116,30.448717948717945,67.62820512820514,-37.1794871794872
ED 25,99.00%,446,187,18,14,2,AD   84,84025,667,205,460,-255,30.73463268365817,68.96551724137932,-38.23088455772115
ED 26,99.00%,298,106,5,15,2,AD   84,84026,426,111,313,-202,26.056338028169012,73.47417840375586,-47.41784037558685
ED 27,99.00%,88,31,2,6,3,AD   84,84027,130,33,94,-61,25.384615384615383,72.3076923076923,-46.92307692307692
ED 28,99.00%,470,180,13,13,2,AD   84,84028,678,193,483,-290,28.466076696165192,71.23893805309734,-42.772861356932154
ED 29,99.00%,513,155,14,35,8,AD   84,84029,725,169,548,-379,23.310344827586206,75.58620689655172,-52.27586206896551
ED 30,99.00%,339,112,14,9,6,AD   84,84030,480,126,348,-222,26.25,72.5,-46.25
ED 31,99.00%,407,142,7,14,5,AD   84,84031,575,149,421,-272,25.91304347826087,73.21739130434783,-47.30434782608695
ED 32,99.00%,369,127,4,9,5,AD   84,84032,514,131,378,-247,25.486381322957197,73.54085603112841,-48.05447470817121
ED 33,99.00%,212,58,11,9,1,AD   84,84033,291,69,221,-152,23.711340206185564,75.94501718213058,-52.233676975945016
ED 34,99.00%,409,132,15,22,2,AD   84,84034,580,147,431,-284,25.344827586206897,74.3103448275862,-48.96551724137931
ED 35,99.00%,367,136,6,11,3,AD   84,84035,523,142,378,-236,27.151051625239003,72.27533460803059,-45.124282982791584
ED 36,99.00%,391,98,8,21,3,AD   84,84036,521,106,412,-306,20.34548944337812,79.07869481765835,-58.733205374280224
ED 37,99.00%,364,92,7,20,0,AD   84,84037,483,99,384,-285,20.496894409937887,79.5031055900621,-59.00621118012422
ED 38,99.00%,305,147,16,21,2,AD   84,84038,491,163,326,-163,33.19755600814664,66.39511201629328,-33.19755600814664
ED 39,99.00%,235,101,17,18,2,AD   84,84039,373,118,253,-135,31.63538873994638,67.828418230563,-36.193029490616624
ED 40,99.00%,220,75,3,10,6,AD   84,84040,314,78,230,-152,24.840764331210192,73.24840764331209,-48.4076433121019
ED 41,99.00%,366,141,8,19,8,AD   84,84041,542,149,385,-236,27.490774907749078,71.03321033210332,-43.542435424354245
ED 42,99.00%,331,83,6,8,6,AD   84,84042,434,89,339,-250,20.506912442396313,78.11059907834101,-57.6036866359447
ED 43,99.00%,387,101,7,18,2,AD   84,84043,515,108,405,-297,20.97087378640777,78.64077669902912,-57.66990291262135
ED 44,99.00%,301,85,5,17,0,AD   84,84044,408,90,318,-228,22.058823529411764,77.94117647058823,-55.882352941176464
ED 45,99.00%,349,107,11,19,4,AD   84,84045,490,118,368,-250,24.081632653061224,75.10204081632654,-51.020408163265316
ED 46,99.00%,351,104,10,12,3,AD   84,84046,480,114,363,-249,23.75,75.625,-51.875
ED 47,99.00%,229,97,8,17,0,AD   84,84047,351,105,246,-141,29.914529914529915,70.08547008547008,-40.17094017094016
ED 48,99.00%,395,94,11,29,8,AD   84,84048,537,105,424,-319,19.553072625698324,78.95716945996276,-59.404096834264436
ED 49,99.00%,205,60,4,6,0,AD   84,84049,275,64,211,-147,23.272727272727273,76.72727272727272,-53.454545454545446
ED 50,99.00%,245,105,4,11,2,AD   84,84050,367,109,256,-147,29.70027247956403,69.75476839237056,-40.05449591280653
ED 51,99.00%,424,82,12,38,18,AD   84,84051,574,94,462,-368,16.376306620209057,80.48780487804879,-64.11149825783974
ED 52,99.00%,62,18,4,4,0,AD   84,84052,88,22,66,-44,25.0,75.0,-50.0
ED 53,99.00%,69,19,1,10,2,AD   84,84053,101,20,79,-59,19.801980198019802,78.21782178217822,-58.415841584158414
ED 54,99.00%,160,51,4,11,2,AD   84,84054,228,55,171,-116,24.12280701754386,75.0,-50.87719298245614
ED 55,99.00%,452,156,10,26,4,AD   84,84055,648,166,478,-312,25.617283950617285,73.76543209876543,-48.148148148148145
ED 56,99.00%,152,54,4,10,6,AD   84,84056,226,58,162,-104,25.663716814159294,71.68141592920354,-46.017699115044245
ED 57,99.00%,233,66,13,12,1,AD   84,84057,325,79,245,-166,24.307692307692307,75.38461538461539,-51.07692307692308
ED 58,99.00%,345,139,8,11,2,AD   84,84058,505,147,356,-209,29.108910891089106,70.49504950495049,-41.38613861386138
ED 59,99.00%,28,12,0,3,0,AD   84,84059,43,12,31,-19,27.906976744186046,72.09302325581395,-44.1860465116279
ED 60,99.00%,50,28,0,3,0,AD   84,84060,81,28,53,-25,34.5679012345679,65.4320987654321,-30.864197530864203
ED 61,99.00%,165,39,6,8,0,AD   84,84061,218,45,173,-128,20.642201834862387,79.35779816513761,-58.71559633027522
ED 62,99.00%,0,0,0,0,0,AD   84,84062,0,0,0,0,,,0.0
ED 63,83.33%,0,0,0,0,0,AD   84,84063,0,0,0,0,,,0.0
ED 64,99.00%,123,46,3,7,1,AD   84,84064,180,49,130,-81,27.22222222222222,72.22222222222221,-44.99999999999999
ED 65,99.00%,158,67,2,5,3,AD   84,84065,235,69,163,-94,29.361702127659573,69.36170212765957,-40.0
ED 66,99.00%,142,32,5,19,3,AD   84,84066,201,37,161,-124,18.407960199004975,80.09950248756219,-61.691542288557216
